#NUMBER OF AGES= 1 MAGS= 5
#----------------------------------------------------       
#MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]
# 1.9380  0.2734 1.8453E-02 1.8453E-02   0.06   0.00 
#----------------------------------------------------       
#**PHOTOMETRIC SYSTEM**: SDSS (AB)
#----------------------------------------------------       
#AGE=10.000 EEPS=268
#EEP   M/Mo    LogTeff  LogG   LogL/Lo sdss_u  sdss_g  sdss_r  sdss_i  sdss_z
 250  1.054172  3.5781  1.1130  2.6134  4.1858  0.4207 -0.8675 -1.6517 -2.0938
 251  1.054192  3.5748  1.0623  2.6511  4.1665  0.3965 -0.8875 -1.7196 -2.1838
 252  1.054211  3.5716  1.0136  2.6872  4.1483  0.3783 -0.8994 -1.7825 -2.2694
 253  1.054228  3.5684  0.9651  2.7228  4.1307  0.3660 -0.9031 -1.8422 -2.3533
 254  1.054244  3.5652  0.9175  2.7576  4.1137  0.3593 -0.8988 -1.8985 -2.4352
 255  1.054258  3.5620  0.8710  2.7915  4.0984  0.3589 -0.8873 -1.9502 -2.5137
 256  1.054272  3.5589  0.8255  2.8245  4.0845  0.3657 -0.8671 -1.9973 -2.5890
 257  1.054285  3.5558  0.7810  2.8568  4.0741  0.3792 -0.8400 -2.0398 -2.6607
 258  1.054297  3.5528  0.7372  2.8883  4.0668  0.3987 -0.8065 -2.0786 -2.7296
 259  1.054308  3.5497  0.6943  2.9192  4.0586  0.4273 -0.7584 -2.1118 -2.7951
 260  1.054318  3.5468  0.6526  2.9490  4.0475  0.4653 -0.6944 -2.1387 -2.8564
 261  1.054328  3.5440  0.6116  2.9784  4.0305  0.5221 -0.5957 -2.1563 -2.9140
 262  1.054337  3.5410  0.5712  3.0071  4.0001  0.5942 -0.4596 -2.1645 -2.9665
 263  1.054345  3.5382  0.5318  3.0351  3.9662  0.6749 -0.3115 -2.1665 -3.0145
 264  1.054353  3.5354  0.4933  3.0625  3.9316  0.7706 -0.1461 -2.1590 -3.0566
 265  1.054360  3.5326  0.4553  3.0893  3.8988  0.8912  0.0484 -2.1373 -3.0911
