#NUMBER OF AGES= 1 MAGS= 5
#----------------------------------------------------       
#MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]
# 1.9380  0.2734 1.8453E-02 1.8453E-02   0.06   0.00 
#----------------------------------------------------       
#**PHOTOMETRIC SYSTEM**: SDSS (AB)
#----------------------------------------------------       
#AGE= 9.000 EEPS=268
#EEP   M/Mo    LogTeff  LogG   LogL/Lo sdss_u  sdss_g  sdss_r  sdss_i  sdss_z
 197  1.077659  3.6821  3.2004  0.9519  5.6075  3.2181  2.3763  2.1255  2.0032
 198  1.077986  3.6813  3.1723  0.9769  5.5622  3.1619  2.3164  2.0640  1.9403
 199  1.078306  3.6804  3.1433  1.0028  5.5160  3.1044  2.2550  2.0006  1.8755
 200  1.078617  3.6795  3.1132  1.0293  5.4695  3.0456  2.1918  1.9355  1.8089
 201  1.078917  3.6787  3.0822  1.0566  5.4228  2.9854  2.1271  1.8686  1.7403
 202  1.079208  3.6775  3.0502  1.0846  5.3761  2.9241  2.0609  1.8000  1.6700
 203  1.079489  3.6766  3.0175  1.1132  5.3288  2.8616  1.9932  1.7300  1.5981
 204  1.079760  3.6754  2.9836  1.1424  5.2826  2.7984  1.9243  1.6584  1.5246
 205  1.080020  3.6741  2.9487  1.1724  5.2374  2.7346  1.8543  1.5855  1.4495
 206  1.080269  3.6728  2.9131  1.2029  5.1924  2.6701  1.7831  1.5113  1.3730
 207  1.080509  3.6714  2.8766  1.2339  5.1475  2.6047  1.7108  1.4358  1.2951
 208  1.080737  3.6700  2.8394  1.2654  5.1030  2.5387  1.6376  1.3592  1.2159
 209  1.080956  3.6685  2.8015  1.2975  5.0590  2.4721  1.5636  1.2816  1.1358
 210  1.081165  3.6669  2.7629  1.3298  5.0157  2.4053  1.4889  1.2032  1.0546
 211  1.081367  3.6653  2.7239  1.3626  4.9732  2.3380  1.4137  1.1240  0.9726
 212  1.081559  3.6637  2.6843  1.3957  4.9313  2.2706  1.3379  1.0441  0.8898
 213  1.081747  3.6620  2.6451  1.4283  4.8912  2.2044  1.2631  0.9654  0.8080
 214  1.081924  3.6604  2.6058  1.4610  4.8527  2.1390  1.1887  0.8869  0.7266
 215  1.082106  3.6584  2.5626  1.4967  4.8126  2.0685  1.1083  0.8013  0.6376
 216  1.082339  3.6566  2.5197  1.5323  4.7723  1.9981  1.0280  0.7161  0.5488
 217  1.082360  3.6566  2.5185  1.5334  4.7703  1.9957  1.0254  0.7134  0.5460
 218  1.082380  3.6566  2.5177  1.5342  4.7685  1.9938  1.0235  0.7114  0.5441
 219  1.082402  3.6566  2.5174  1.5347  4.7668  1.9924  1.0222  0.7102  0.5429
 220  1.082424  3.6566  2.5173  1.5349  4.7656  1.9916  1.0216  0.7097  0.5424
 221  1.082450  3.6567  2.5178  1.5346  4.7649  1.9917  1.0220  0.7102  0.5431
 222  1.082478  3.6567  2.5191  1.5336  4.7652  1.9934  1.0242  0.7127  0.5457
 223  1.082505  3.6568  2.5217  1.5316  4.7668  1.9971  1.0286  0.7175  0.5506
 224  1.082527  3.6571  2.5250  1.5289  4.7692  2.0020  1.0345  0.7237  0.5572
 225  1.082543  3.6572  2.5285  1.5261  4.7717  2.0073  1.0407  0.7304  0.5642
 226  1.082555  3.6574  2.5321  1.5232  4.7743  2.0128  1.0472  0.7373  0.5715
 227  1.082809  3.6609  2.5971  1.4721  4.8122  2.1059  1.1590  0.8582  0.6987
 228  1.083113  3.6576  2.5248  1.5316  4.7486  1.9895  1.0251  0.7159  0.5504
 229  1.083378  3.6540  2.4469  1.5950  4.6868  1.8680  0.8836  0.5647  0.3924
 230  1.083606  3.6504  2.3723  1.6553  4.6328  1.7552  0.7508  0.4220  0.2427
 231  1.083810  3.6467  2.2979  1.7151  4.5831  1.6453  0.6203  0.2809  0.0945
 232  1.083986  3.6431  2.2262  1.7726  4.5395  1.5420  0.4967  0.1463 -0.0474
 233  1.084141  3.6395  2.1561  1.8283  4.5012  1.4438  0.3782  0.0163 -0.1848
 234  1.084277  3.6359  2.0865  1.8835  4.4661  1.3485  0.2625 -0.1115 -0.3206
 235  1.084398  3.6323  2.0188  1.9370  4.4351  1.2582  0.1523 -0.2346 -0.4519
 236  1.084504  3.6286  1.9521  1.9891  4.4095  1.1729  0.0473 -0.3534 -0.5796
 237  1.084599  3.6250  1.8861  2.0405  4.3863  1.0907 -0.0540 -0.4698 -0.7056
 238  1.084684  3.6214  1.8215  2.0905  4.3649  1.0127 -0.1503 -0.5819 -0.8278
 239  1.084760  3.6177  1.7578  2.1397  4.3450  0.9383 -0.2422 -0.6912 -0.9480
 240  1.084828  3.6141  1.6950  2.1879  4.3260  0.8676 -0.3296 -0.7973 -1.0658
 241  1.084889  3.6106  1.6339  2.2348  4.3075  0.8011 -0.4115 -0.8991 -1.1799
 242  1.084943  3.6070  1.5740  2.2806  4.2893  0.7381 -0.4883 -0.9976 -1.2916
 243  1.084992  3.6036  1.5156  2.3253  4.2717  0.6792 -0.5594 -1.0923 -1.4004
 244  1.085036  3.6000  1.4576  2.3694  4.2577  0.6256 -0.6237 -1.1839 -1.5077
 245  1.085077  3.5966  1.4009  2.4122  4.2439  0.5768 -0.6823 -1.2713 -1.6118
 246  1.085113  3.5932  1.3455  2.4540  4.2284  0.5314 -0.7363 -1.3556 -1.7130
 247  1.085147  3.5898  1.2913  2.4947  4.2099  0.4891 -0.7871 -1.4371 -1.8113
 248  1.085177  3.5865  1.2382  2.5346  4.1896  0.4503 -0.8332 -1.5153 -1.9068
 249  1.085204  3.5832  1.1860  2.5737  4.1696  0.4158 -0.8725 -1.5905 -2.0006
 250  1.085230  3.5799  1.1346  2.6119  4.1504  0.3857 -0.9038 -1.6622 -2.0921
 251  1.085253  3.5767  1.0846  2.6491  4.1318  0.3598 -0.9273 -1.7304 -2.1813
 252  1.085274  3.5735  1.0354  2.6855  4.1136  0.3386 -0.9435 -1.7952 -2.2682
 253  1.085294  3.5703  0.9872  2.7211  4.0961  0.3230 -0.9521 -1.8562 -2.3522
 254  1.085312  3.5671  0.9401  2.7556  4.0793  0.3136 -0.9521 -1.9131 -2.4334
 255  1.085328  3.5640  0.8936  2.7896  4.0634  0.3089 -0.9461 -1.9671 -2.5130
 256  1.085344  3.5609  0.8481  2.8226  4.0491  0.3112 -0.9315 -2.0164 -2.5892
 257  1.085358  3.5579  0.8038  2.8547  4.0364  0.3209 -0.9078 -2.0606 -2.6617
 258  1.085371  3.5549  0.7601  2.8862  4.0278  0.3357 -0.8806 -2.1016 -2.7316
 259  1.085384  3.5519  0.7173  2.9172  4.0207  0.3576 -0.8427 -2.1381 -2.7986
 260  1.085395  3.5490  0.6756  2.9471  4.0121  0.3882 -0.7910 -2.1690 -2.8616
 261  1.085406  3.5460  0.6346  2.9764  4.0003  0.4297 -0.7212 -2.1935 -2.9210
 262  1.085417  3.5432  0.5945  3.0050  3.9792  0.4913 -0.6100 -2.2077 -2.9762
 263  1.085427  3.5403  0.5551  3.0331  3.9481  0.5654 -0.4710 -2.2137 -3.0267
 264  1.085436  3.5375  0.5165  3.0604  3.9145  0.6486 -0.3203 -2.2133 -3.0724
 265  1.085444  3.5348  0.4788  3.0871  3.8807  0.7519 -0.1446 -2.2009 -3.1116
 266  1.085452  3.5320  0.4418  3.1132  3.8496  0.8724  0.0455 -2.1778 -3.1437
 267  1.085459  3.5293  0.4055  3.1387  3.8274  1.0075  0.2250 -2.1438 -3.1658
 268  1.085466  3.5267  0.3702  3.1635  3.8093  1.1392  0.3831 -2.1089 -3.1839
 269  1.085473  3.5240  0.3353  3.1879  3.7948  1.2647  0.5163 -2.0748 -3.1992
